index,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,cluster,cluster1
0,1001,Paleo Eba Swallow with Okra Soup and Snail,86.0,590,3.0,2.0,1.0,8.0,1.6,161.0,132.0,2.99,103.0,333.0,501.0,181.0,2.14,0.0,0.0,0.0,0.7,0.334,0.25,1.33,0.0,0.231,22.0,0.0,22.0,0.0,0.0,0.21,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.387,5.695,3.147,1.0,73.0,"1 package,  (1 NLEA serving)",0.0,0,0.0,1,0
1,1002,Paleo Eba Swallow with Groundnut Soup and Chicken,74.0,650,8.0,13.0,3.0,74.0,18.1,364.0,245.0,8.84,119.0,402.0,334.0,618.0,2.65,0.0,0.0,0.0,0.1,0.741,0.87,10.871,0.0,1.025,205.0,0.0,0.0,0.0,0.0,0.0,2558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.207,2.224,1.839,1.0,45.0,"1 packet,  (1 NLEA serving)",0.0,0,0.0,2,0
2,1003,Paleo Eba Swallow with Spinach and Fish Stew,65.0,620,6.0,5.0,3.0,22.0,5.5,61.0,30.0,28.89,77.0,343.0,371.0,2.0,2.7,0.0,0.0,0.0,0.0,0.67,0.75,8.89,0.0,0.88,357.0,338.0,19.0,594.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,1.2,0.0,56.0,"1 Cup,  (1 NLEA serving)",0.0,0,0.0,2,0
3,1004,Paleo Eba Swallow with Palm Nut Soup and Goat Meat,38.0,670,6.0,6.0,3.0,47.0,0.0,17.0,47.0,7.8,106.0,252.0,449.0,373.0,2.7,0.0,0.0,0.0,2.0,0.64,0.73,8.6,0.0,0.86,172.0,0.0,0.0,0.0,0.0,3.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,73.0,0.0,0.4,1.2,1.0,0.0,58.0,"1.25 cup,  (1 NLEA serving)",0.0,0,0.0,2,0
4,1005,Paleo Eba Swallow with Bitterleaf Soup and Fish,29.0,600,4.0,11.0,1.0,55.0,1.1,21.0,24.0,2.09,50.0,119.0,294.0,279.0,0.89,0.0,0.0,0.0,1.0,0.23,0.05,3.0,0.0,0.15,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,50.0,".75 Cup,  (1 NLEA serving)",0.0,0,0.0,2,0
5,1006,Paleo Eba Swallow with Tomato Stew and Beef,47.0,630,5.0,2.0,3.0,43.0,4.7,70.0,57.0,14.5,32.0,97.0,245.0,342.0,5.0,0.0,0.0,0.0,48.0,1.21,1.37,16.1,0.0,1.61,323.0,0.0,0.0,0.0,0.0,5.0,3333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,133.0,0.0,2.4,2.9,5.5,0.0,31.0,".75 Cup,  (1 NLEA serving)",0.0,0,0.0,2,2
6,1007,Paleo Eba Swallow with Moringa Soup and Chicken,68.0,640,7.0,12.0,4.0,70.0,6.5,57.0,39.0,8.5,96.0,235.0,262.0,355.0,2.79,0.0,0.0,0.0,2.0,0.7,0.8,9.39,0.0,0.93,189.0,0.0,0.0,0.0,0.0,3.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,75.0,0.0,0.3,0.4,1.5,0.0,53.0,"1 Cup,  (1 NLEA serving)",0.0,0,0.0,2,0
7,1008,Paleo Eba Swallow with Ogbono Soup and Goat Meat,27.0,660,7.0,10.0,2.0,54.0,2.3,135.0,36.0,29.0,63.0,200.0,250.0,606.0,1.7,0.0,0.0,0.0,68.0,1.69,1.91,22.6,0.0,2.25,452.0,0.0,0.0,0.0,0.0,7.0,2419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,129.0,0.0,0.3,0.1,0.69,0.0,31.0,"1 Cup,  (1 NLEA serving)",0.0,0,0.0,2,0
8,1009,Paleo Eba Swallow with Yam Leaf Soup and Fish,39.0,590,7.0,7.0,4.0,44.0,0.0,249.0,385.0,10.39,115.0,431.0,326.0,295.0,1.89,0.0,0.0,0.0,23.0,0.57,0.64,7.69,0.0,0.76,154.0,0.0,0.0,0.0,0.0,2.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.7,187.0,0.0,1.29,4.69,3.5,0.0,52.0,"1 Container,  (1 NLEA serving)",0.0,0,0.0,2,0
9,1010,Paleo Eba Swallow with Egusi Soup and Chicken,36.0,650,9.0,4.0,2.0,50.0,5.5,43.0,385.0,10.39,115.0,467.0,271.0,284.0,1.7,0.0,0.0,0.0,23.0,0.57,0.64,7.69,0.0,0.76,154.0,0.0,0.0,0.0,0.0,1.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.8,154.0,0.0,1.1,3.79,2.59,0.0,52.0,"1 Container,  (1 NLEA serving)",0.0,0,0.0,2,0
